baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000071847.13	976.17308289829	-2.16976685547755	0.107303709330107	-20.2208000918452	6.4232950003607e-91	1.31563072943031e-88
ENSMUSG00000053030.11	715.51814645664	-8.16013466481445	0.403791744679088	-20.2087704177798	8.19644660244873e-91	1.66235187122409e-88
ENSMUSG00000022865.14	1017.89691957871	-3.41245054775899	0.169215070411442	-20.1663512561955	1.93391432535348e-90	3.88416365520266e-88
ENSMUSG00000039457.4	325.366068744433	-3.87493943238304	0.192371565313284	-20.1429947615832	3.10012314308397e-90	6.16656225586327e-88
ENSMUSG00000102752.1	291.65252968245	-4.09679790162067	0.203390808345671	-20.1424928439145	3.13170201018699e-90	6.17004947473697e-88
ENSMUSG00000029154.13	732.126853349502	-8.29205620364966	0.412295436948372	-20.1119281479897	5.80238980727584e-90	1.13239658436901e-87
ENSMUSG00000028128.13	1790.7214802991	2.08943743902484	0.103941745400286	20.1020045505133	7.08722903805639e-90	1.37021969261937e-87
ENSMUSG00000022346.16	4842.31096231102	-2.52479491704957	0.125921733906557	-20.0505094610845	1.99788755062705e-89	3.82687960739092e-87
ENSMUSG00000022102.13	303.629955600705	-5.63762181536908	0.281444098893207	-20.0310535468298	2.95343283056354e-89	5.6052903638411e-87
ENSMUSG00000021182.16	302.523854143939	-4.03017974647312	0.201598000119856	-19.9911692778552	6.57372070531266e-89	1.23627782028003e-86
ENSMUSG00000028434.12	984.575011480394	-2.52765205933682	0.126710014835884	-19.9483210747836	1.55006617201483e-88	2.88884854959196e-86
ENSMUSG00000042216.13	360.201997696794	-3.34077882862974	0.16753217164564	-19.9411181495102	1.79018201268575e-88	3.30656208003839e-86
ENSMUSG00000019996.17	303.588516924698	-4.8051168797145	0.24107050654729	-19.9324129215777	2.13039169668201e-88	3.90012504683723e-86
ENSMUSG00000029449.11	351.101090583461	-3.84167421773305	0.193265992234755	-19.877652417331	6.35379872920712e-88	1.1529915290448e-85
ENSMUSG00000085925.3	338.05940978646	-3.27191747475684	0.165101244352976	-19.8176427293406	2.09704091655712e-87	3.77230308181019e-85
ENSMUSG00000024965.9	348.98172423606	-5.42022252620856	0.273718907370611	-19.802148774727	2.85262346595229e-87	5.08726048622026e-85
ENSMUSG00000031075.19	2030.19647550231	-1.83820957553237	0.0937334332379721	-19.6110343132902	1.24474698688548e-85	2.20086161689743e-83
ENSMUSG00000028954.11	2684.50301862772	-1.81336922646021	0.0928361679109946	-19.5330038633085	5.75524743234341e-85	1.00897291214312e-82
ENSMUSG00000092586.8	2363.34689446817	-10.9876466969118	0.563412421183288	-19.5019603469788	1.05654116755966e-84	1.8366947170846e-82
ENSMUSG00000026638.15	451.512115652809	-7.31023419911204	0.379907528440011	-19.2421409207908	1.6428082813866e-82	2.83206457642037e-80
ENSMUSG00000027456.8	288.329412014444	-5.8795509092095	0.30581757057697	-19.2256805196538	2.25659325285251e-82	3.85802848113717e-80
ENSMUSG00000044737.6	429.38251067393	-7.15537266583801	0.372408772327964	-19.2137597111611	2.83938589153175e-82	4.8146209785342e-80
ENSMUSG00000025481.12	243.770183036785	-4.57712391436602	0.239216340815985	-19.1338263044786	1.32019019302999e-81	2.22038817261882e-79
ENSMUSG00000002384.2	247.538329259163	-4.43095457264643	0.232095839786066	-19.0910555601973	2.99652983236536e-81	4.99913005178566e-79
ENSMUSG00000040152.8	93737.2239352442	1.87260916096465	0.0981222203757413	19.0844556288457	3.40000420534382e-81	5.6268709596758e-79
